ImageFlag,ID,x3D (m),y3D (m),z3D (m)
,1,0.0769,0.5731,3.3879
,1,0.0066,0.2977,3.4041
,1,-0.0049,0.0589,3.3525
,1,0.0176,-0.0557,3.3248
,1,0.4216,0.5457,3.3508
,1,0.4683,0.266,3.3451
,1,0.4715,0.0306,3.275
,1,0.456,-0.0766,3.2457
,1,0.1551,0.1542,3.3629
,1,0.1227,-0.3673,3.4531
,1,0.1161,-0.7387,3.5368
,1,0.0926,-0.802,3.5126
,1,0.3098,0.1443,3.3541
,1,0.3524,-0.3736,3.4467
,1,0.3576,-0.7539,3.5315
,1,0.3858,-0.8241,3.4913
023-14,5,-0.2739,-0.1255,3.524
,5,-0.2899,-0.0617,3.5783
,5,-0.3104,0.3064,3.5706
,5,-0.2978,0.4917,3.5406
,5,-0.4761,0.1921,3.5543
,5,-0.5208,-0.0243,3.4953
,5,-0.5038,-0.2222,3.4407
,5,-0.5218,-0.2864,3.4372
,5,-0.1408,0.1925,3.6209
,5,-0.0639,-0.0632,3.6566
,5,-0.0372,-0.2795,3.56
,5,-0.0423,-0.3644,3.5293
,5,-0.3419,-0.2034,3.493
,5,-0.3867,-0.7354,3.5656
,5,-0.386,-1.0904,3.5784
,5,-0.3935,-1.1462,3.5014
,5,-0.192,-0.2022,3.535
,5,-0.1524,-0.7286,3.6281
,5,-0.1375,-1.0725,3.6548
,5,-0.0973,-1.1474,3.5724
024-14,1,0.0156,-0.059,3.4735
,1,0.014,0.0091,3.5351
,1,0.0034,0.4054,3.5387
,1,0,0.6234,3.5071
,1,-0.1828,0.2791,3.5331
,1,-0.2361,-0.0066,3.5156
,1,-0.2383,-0.246,3.4236
,1,-0.2238,-0.3683,3.4126
,1,0.192,0.2881,3.5318
,1,0.2746,-0.021,3.5347
,1,0.2922,-0.269,3.4815
,1,0.2902,-0.3555,3.4339
,1,-0.0661,-0.1453,3.4623
,1,0.0002,-0.7183,3.5577
,1,0.0286,-1.078,3.4984
,1,0.0222,-1.1512,3.3918
,1,0.1017,-0.1388,3.4554
,1,0.077,-0.7258,3.5514
,1,0.1023,-1.1259,3.4329
,1,0.042,-1.1645,3.368
026-14,6,-0.1828,0.0808,3.4084
,6,-0.192,0.1461,3.4678
,6,-0.2028,0.5284,3.4734
,6,-0.176,0.7027,3.4078
,6,-0.3859,0.4173,3.4531
,6,-0.4555,0.1393,3.4302
,6,-0.4367,-0.0893,3.3489
,6,-0.4177,-0.204,3.3163
,6,-0.0051,0.4144,3.4956
,6,0.0649,0.1196,3.4985
,6,0.0883,-0.1214,3.418
,6,0.0884,-0.2261,3.3897
,6,-0.264,-0.0039,3.3811
,6,-0.3073,-0.5823,3.4933
,6,-0.3315,-0.9495,3.4966
,6,-0.3543,-1.0142,3.4328
,6,-0.0936,-0.0039,3.4054
,6,-0.0513,-0.5553,3.5162
,6,-0.0384,-0.9246,3.5553
,6,0.0106,-1.0013,3.4825
027-14,2,0.1098,0.1197,3.4078
,2,0.112,0.1991,3.4067
,2,0.1201,0.5969,3.3993
,2,0.1185,0.7978,3.3452
,2,-0.0568,0.4796,3.4353
,2,-0.106,0.1631,3.4194
,2,-0.1226,-0.081,3.3291
,2,-0.1163,-0.1861,3.3003
,2,0.2874,0.4656,3.3754
,2,0.3615,0.1652,3.3798
,2,0.381,-0.0793,3.2914
,2,0.3707,-0.189,3.2453
,2,0.0308,0.0418,3.4148
,2,0.0124,-0.5257,3.4263
,2,0.0339,-0.9191,3.4443
,2,0.0126,-0.9923,3.395
,2,0.1865,0.0414,3.399
,2,0.2359,-0.5204,3.4229
,2,0.2289,-0.923,3.4942
,2,0.238,-0.995,3.4231
030-14,1,0.0289,0.146,3.6945
,1,0.0304,0.2147,3.722
,1,0.0393,0.5709,3.7102
,1,0.0506,0.7631,3.6593
,1,-0.1442,0.4608,3.7099
,1,-0.2017,0.1819,3.6896
,1,-0.2211,-0.0572,3.6531
,1,-0.2056,-0.1643,3.6449
,1,0.1951,0.4511,3.7117
,1,0.273,0.1775,3.7352
,1,0.2775,-0.0602,3.6829
,1,0.2894,-0.1678,3.6735
,1,-0.0491,0.0715,3.6917
,1,-0.0649,-0.4624,3.7674
,1,-0.0676,-0.8174,3.7886
,1,-0.0903,-0.8776,3.7429
,1,0.1029,0.068,3.6864
,1,0.1326,-0.4711,3.7479
,1,0.1606,-0.8292,3.8139
,1,0.1801,-0.8833,3.7556
031-14,1,-0.2574,-0.2235,3.5666
,1,-0.2661,-0.1647,3.6192
,1,-0.2763,0.1753,3.6145
,1,-0.266,0.3673,3.6115
,1,-0.4278,0.0627,3.5912
,1,-0.4654,-0.1959,3.5666
,1,-0.4634,-0.4123,3.4985
,1,-0.4496,-0.4604,3.4562
,1,-0.1095,0.0687,3.6299
,1,-0.0651,-0.1886,3.6061
,1,-0.0503,-0.4067,3.5474
,1,-0.0517,-0.4582,3.5419
,1,-0.3252,-0.2966,3.5447
,1,-0.3656,-0.7404,3.598
,1,-0.3568,-1.0745,3.5849
,1,-0.3479,-1.1486,3.4983
,1,-0.1828,-0.2931,3.5663
,1,-0.1583,-0.7298,3.6245
,1,-0.1356,-1.0686,3.6611
,1,-0.1134,-1.1409,3.5921
032-14,4,-0.0479,0.1179,3.4459
,4,-0.0598,0.1916,3.4597
,4,-0.096,0.5685,3.4683
,4,-0.0867,0.7568,3.4245
,4,-0.2538,0.4467,3.4228
,4,-0.2898,0.1966,3.3428
,4,-0.2541,-0.0289,3.2084
,4,-0.2073,-0.1385,3.2025
,4,0.102,0.4725,3.527
,4,0.1768,0.1495,3.5315
,4,0.2073,-0.1034,3.4759
,4,0.1977,-0.1866,3.4609
,4,-0.1184,0.0294,3.4184
,4,-0.182,-0.5437,3.462
,4,-0.1832,-0.9263,3.434
,4,-0.1866,-1.009,3.3594
,4,0.0408,0.0398,3.4598
,4,0.0659,-0.5284,3.5207
,4,0.0788,-0.9304,3.5339
,4,0.1253,-1.002,3.4855
036-78,4,0.0783,0.1265,3.8873
,4,0.0784,0.2033,3.8944
,4,0.071,0.5792,3.8819
,4,0.0846,0.7953,3.8701
,4,-0.1166,0.4512,3.8812
,4,-0.1482,0.1964,3.8532
,4,-0.1651,-0.0343,3.8043
,4,-0.1592,-0.137,3.7743
,4,0.1935,0.4338,3.8677
,4,0.3399,0.1855,3.9088
,4,0.3365,-0.0879,3.8266
,4,0.3372,-0.1886,3.809
